no,id,name,play_name,normalized_genre,libretto,first_author,title,subtitle,num_of_co_authors,max_degree_ids,num_of_segments,num_of_acts,num_of_speakers,num_of_speakers_male,num_of_speakers_female,num_of_speakers_unknown,num_of_person_groups,num_of_p,num_of_l,wikipedia_link_count,word_count_text,word_count_sp,word_count_stage,year_written,year_premiered,year_printed,year_normalized,average_degree,density,average_clustering,size,max_degree,num_connected_components,diameter,average_path_length
887,fre000886,l-estoile-maistre-galimathias,l-estoile-maistre-galimathias,,True,L'Estoile,Maître Galimathias pour le Grand Bal,de la Douairière de Billebahaut et de son Fanfan de Sotte-ville,0,several characters,2,0,12,8,1,3,0,0,191,,1497,1425,4,,,1626,1626,7.666666666666667,0.696969696969697,0.8333333333333334,12,9.0,2.0,1.0,1.0
900,fre000817,la-fontaine-astree,la-fontaine-astree,Tragedy,True,La Fontaine,Astrée,Tragédie Lyrique,0,choeur,24,3,24,5,7,12,0,0,768,0.0,5947,5661,97,,1691-11-28,1691,1691,4.166666666666667,0.18115942028985507,0.8262922262922262,24,14.0,3.0,3.0,1.9896373056994818
902,fre000819,la-fontaine-daphne,la-fontaine-daphne,,True,La Fontaine,Daphné,OPÉRA,0,choeur,33,5,54,15,8,31,0,0,951,,8982,7890,1591,,,1682,1682,9.296296296296296,0.17540181691125087,0.7955914648954439,54,28.0,3.0,4.0,2.270739064856712
905,fre000822,la-fontaine-galatee,la-fontaine-galatee,,True,La Fontaine,Galatée,OPÉRA,0,galatee,9,1,11,4,0,7,0,0,330,,2644,2443,6,,,1682,1682,5.2727272727272725,0.5272727272727272,0.7903318903318904,11,10.0,1.0,2.0,1.4727272727272727
907,fre000824,la-fontaine-rieurs-du-beau-richard,la-fontaine-rieurs-du-beau-richard,,True,La Fontaine,Les Rieurs du Beau-Richard,Ballet,0,le-marchand,9,1,10,1,0,9,0,0,207,,1790,1651,213,,,1659,1659,1.6,0.17777777777777778,0.42000000000000004,10,5.0,4.0,2.0,1.5
918,fre000845,la-motte-carnaval-folie,la-motte-carnaval-folie,Comedy,True,La Motte,Le Carnaval et la Folie,Comédie Ballet.,1,choeur,21,0,22,8,1,13,0,0,722,,6628,5639,373,,1703-12-27,1752,1703,8.545454545454545,0.4069264069264069,0.8504396473682992,22,20.0,1.0,3.0,1.632034632034632
924,fre000851,la-motte-scanderberg,la-motte-scanderberg,Tragedy,True,La Motte,Scanderberg,Tragédie,0,le-choeur,28,5,26,6,7,13,0,0,835,,7313,5907,152,,1735-10-27,1735,1735,4.6923076923076925,0.18769230769230769,0.794617995127045,26,17.0,2.0,3.0,2.0733333333333333
955,fre000887,le-tellier-dom-juan,le-tellier-dom-juan,,True,Le Tellier,Don Juan ou Le Festin de Pierre,,0,don-juan,11,3,10,4,4,2,0,0,213,,1923,1638,407,,1713,1713,1713,3.0,0.3333333333333333,0.9066666666666666,10,6.0,2.0,2.0,1.375
1050,fre000956,marmontel-hercule-mourant,marmontel-hercule-mourant,,True,Marmontel,Hercule Mourant,Tragédie en Musique en Cinq Actes,0,dejanire,23,5,22,4,5,13,0,0,565,,4918,4551,330,,1761-03-04,1761,1761,4.545454545454546,0.21645021645021645,0.8203102453102453,22,11.0,1.0,4.0,2.242424242424242
1091,fre000997,moliere-bourgeois-gentilhomme,moliere-bourgeois-gentilhomme,Comedy,True,Molière,Le Bourgeois Gentilhomme,Comédie Ballet,0,monsieur-jourdain,42,5,50,5,4,41,0,1046,315,23.0,22557,21652,782,,,1671,1671,7.64,0.15591836734693879,0.9075050505050506,50,22.0,5.0,3.0,1.5225464190981433
1101,fre001007,moliere-facheux,moliere-facheux,Comedy,True,Molière,Les Fâcheux,Comédie,1,eraste,25,3,16,14,1,1,0,5,934,5.0,10949,9211,406,,,1662,1662,2.375,0.15833333333333333,0.35760073260073255,16,14.0,2.0,2.0,1.819047619047619
1109,fre001015,moliere-mariage-force,moliere-mariage-force,Comedy,True,Molière,Le Mariage Forcé,Comédie.,0,sganarelle,10,1,11,6,1,4,0,366,0,7.0,6744,6364,33,,1664-01-29,1668,1664,2.727272727272727,0.2727272727272727,0.6464646464646464,11,10.0,1.0,2.0,1.7272727272727273
1114,fre001020,moliere-monsieur-pourceaugnac,moliere-monsieur-pourceaugnac,Comedy,True,Molière,Monsieur de Pourceaugnac,Comédie,0,monsieur-de-pourceaugnac,31,4,34,11,3,20,0,646,118,11.0,13863,13374,211,,1669-11-15,1665,1665,5.235294117647059,0.1586452762923351,0.820016339869281,34,16.0,4.0,3.0,1.819327731092437
